height,weight,bmi,cat,age,high,low,normal
158,89,35,low,41,Bhujangasana (Cobra Pose),Virabhadrasana 2 ( Warrior 2),Cobbler’s Pose (Baddha Konasana)
154,65,27,low,56,Vajrasana (Diamond/ Thunderbolt Pose),Dhanurasana (Bow pose),Locust Pose (Salabhasana)
182,99,29,low,60,Sarvangasana (Shoulder Stand),Setu Bandha Sarvangasana (Bridge Pose),Dandasana (plank pose)
142,60,29,low,41,Matsyasana (Fish Pose),Bhujangasana  (Cobra pose),Viparita Karni (Inclined pose)
141,101,50,low,58,Pavanamuktasana (Wind Relieving Pose),Navasana (Boat Pose),Corpse Pose (Savasana)
162,80,30,low,53,Savasana (Corpse Pose),Utkatasana (Chair pose),Legs Up the Wall ( Viparita Karani)
191,109,29,low,38,Supta Badhakonasana (Reclining butterfly pose),Trikonasana (Triangle Pose),Cat-Cow Stretch (Marjaryasana-Bitilasana)
168,81,28,low,23,Chakrasana (Wheel Pose),Virabhadrasana 2 ( Warrior 2),Downward Facing Dog (Adho Mukha Shwanasana)
156,104,42,low,33,Dhanurasana (Bow Pose),Dhanurasana (Bow pose),Knees to Chest (Apanasana)
142,63,31,low,30,Bhujangasana (Cobra Pose),Setu Bandha Sarvangasana (Bridge Pose),Cobbler’s Pose (Baddha Konasana)
182,108,32,low,24,Vajrasana (Diamond/ Thunderbolt Pose),Bhujangasana  (Cobra pose),Locust Pose (Salabhasana)
151,94,41,low,55,Sarvangasana (Shoulder Stand),Navasana (Boat Pose),Dandasana (plank pose)
164,104,38,low,52,Matsyasana (Fish Pose),Utkatasana (Chair pose),Viparita Karni (Inclined pose)
158,99,39,low,17,Pavanamuktasana (Wind Relieving Pose),Trikonasana (Triangle Pose),Corpse Pose (Savasana)
195,110,28,low,23,Savasana (Corpse Pose),Virabhadrasana 2 ( Warrior 2),Legs Up the Wall ( Viparita Karani)
184,104,30,low,16,Supta Badhakonasana (Reclining butterfly pose),Dhanurasana (Bow pose),Cat-Cow Stretch (Marjaryasana-Bitilasana)
155,78,32,low,51,Chakrasana (Wheel Pose),Setu Bandha Sarvangasana (Bridge Pose),Downward Facing Dog (Adho Mukha Shwanasana)
190,102,28,low,46,Dhanurasana (Bow Pose),Bhujangasana  (Cobra pose),Knees to Chest (Apanasana)
146,65,30,low,34,Bhujangasana (Cobra Pose),Navasana (Boat Pose),Cobbler’s Pose (Baddha Konasana)
140,100,51,low,60,Chakrasana (Wheel Pose),Utkatasana (Chair pose),Locust Pose (Salabhasana)
178,102,32,low,37,Dhanurasana (Bow Pose),Trikonasana (Triangle Pose),Dandasana (plank pose)
143,108,52,low,60,Bhujangasana (Cobra Pose),Virabhadrasana 2 ( Warrior 2),Viparita Karni (Inclined pose)
154,99,41,low,30,Vajrasana (Diamond/ Thunderbolt Pose),Dhanurasana (Bow pose),Corpse Pose (Savasana)
174,108,35,low,27,Sarvangasana (Shoulder Stand),Setu Bandha Sarvangasana (Bridge Pose),Legs Up the Wall ( Viparita Karani)
178,91,28,low,44,Matsyasana (Fish Pose),Bhujangasana  (Cobra pose),Cat-Cow Stretch (Marjaryasana-Bitilasana)
143,64,31,low,23,Pavanamuktasana (Wind Relieving Pose),Navasana (Boat Pose),Downward Facing Dog (Adho Mukha Shwanasana)
168,99,35,low,38,Savasana (Corpse Pose),Utkatasana (Chair pose),Knees to Chest (Apanasana)
159,83,32,low,60,Supta Badhakonasana (Reclining butterfly pose),Trikonasana (Triangle Pose),Cobbler’s Pose (Baddha Konasana)
160,108,42,low,53,Chakrasana (Wheel Pose),Virabhadrasana 2 ( Warrior 2),Locust Pose (Salabhasana)
151,80,35,low,25,Dhanurasana (Bow Pose),Dhanurasana (Bow pose),Dandasana (plank pose)
141,80,40,low,50,Bhujangasana (Cobra Pose),Setu Bandha Sarvangasana (Bridge Pose),Viparita Karni (Inclined pose)
142,107,53,low,46,Vajrasana (Diamond/ Thunderbolt Pose),Bhujangasana  (Cobra pose),Corpse Pose (Savasana)
140,108,55,low,32,Sarvangasana (Shoulder Stand),Navasana (Boat Pose),Legs Up the Wall ( Viparita Karani)
144,103,49,low,22,Matsyasana (Fish Pose),Utkatasana (Chair pose),Cat-Cow Stretch (Marjaryasana-Bitilasana)
145,97,46,low,55,Pavanamuktasana (Wind Relieving Pose),Trikonasana (Triangle Pose),Downward Facing Dog (Adho Mukha Shwanasana)
173,95,31,low,42,Savasana (Corpse Pose),Virabhadrasana 2 ( Warrior 2),Knees to Chest (Apanasana)
168,108,38,low,55,Supta Badhakonasana (Reclining butterfly pose),Dhanurasana (Bow pose),Cobbler’s Pose (Baddha Konasana)
148,110,50,low,28,Chakrasana (Wheel Pose),Setu Bandha Sarvangasana (Bridge Pose),Locust Pose (Salabhasana)
177,101,32,low,46,Dhanurasana (Bow Pose),Bhujangasana  (Cobra pose),Dandasana (plank pose)
171,99,33,low,24,Bhujangasana (Cobra Pose),Navasana (Boat Pose),Viparita Karni (Inclined pose)
146,91,42,low,59,Chakrasana (Wheel Pose),Utkatasana (Chair pose),Corpse Pose (Savasana)
182,90,27,low,27,Dhanurasana (Bow Pose),Trikonasana (Triangle Pose),Legs Up the Wall ( Viparita Karani)
189,103,28,low,25,Bhujangasana (Cobra Pose),Virabhadrasana 2 ( Warrior 2),Cat-Cow Stretch (Marjaryasana-Bitilasana)
165,76,27,low,27,Vajrasana (Diamond/ Thunderbolt Pose),Dhanurasana (Bow pose),Downward Facing Dog (Adho Mukha Shwanasana)
159,89,35,low,32,Sarvangasana (Shoulder Stand),Setu Bandha Sarvangasana (Bridge Pose),Knees to Chest (Apanasana)
191,87,23,normal,41,Matsyasana (Fish Pose),Bhujangasana  (Cobra pose),Cobbler’s Pose (Baddha Konasana)
173,69,23,normal,46,Pavanamuktasana (Wind Relieving Pose),Navasana (Boat Pose),Locust Pose (Salabhasana)
161,54,20,normal,27,Savasana (Corpse Pose),Utkatasana (Chair pose),Dandasana (plank pose)
189,85,23,normal,52,Supta Badhakonasana (Reclining butterfly pose),Trikonasana (Triangle Pose),Viparita Karni (Inclined pose)
192,71,19,normal,45,Chakrasana (Wheel Pose),Virabhadrasana 2 ( Warrior 2),Corpse Pose (Savasana)
171,65,22,normal,53,Dhanurasana (Bow Pose),Dhanurasana (Bow pose),Legs Up the Wall ( Viparita Karani)
163,65,24,normal,18,Bhujangasana (Cobra Pose),Setu Bandha Sarvangasana (Bridge Pose),Cat-Cow Stretch (Marjaryasana-Bitilasana)
156,55,22,normal,38,Vajrasana (Diamond/ Thunderbolt Pose),Bhujangasana  (Cobra pose),Downward Facing Dog (Adho Mukha Shwanasana)
169,74,25,normal,43,Sarvangasana (Shoulder Stand),Navasana (Boat Pose),Knees to Chest (Apanasana)
140,49,25,normal,33,Matsyasana (Fish Pose),Utkatasana (Chair pose),Cobbler’s Pose (Baddha Konasana)
155,54,22,normal,25,Pavanamuktasana (Wind Relieving Pose),Trikonasana (Triangle Pose),Locust Pose (Salabhasana)
163,69,25,normal,52,Savasana (Corpse Pose),Virabhadrasana 2 ( Warrior 2),Dandasana (plank pose)
172,51,17,normal,45,Supta Badhakonasana (Reclining butterfly pose),Dhanurasana (Bow pose),Viparita Karni (Inclined pose)
164,58,21,normal,39,Chakrasana (Wheel Pose),Setu Bandha Sarvangasana (Bridge Pose),Corpse Pose (Savasana)
174,64,21,normal,58,Dhanurasana (Bow Pose),Bhujangasana  (Cobra pose),Legs Up the Wall ( Viparita Karani)
181,77,23,normal,20,Bhujangasana (Cobra Pose),Navasana (Boat Pose),Cat-Cow Stretch (Marjaryasana-Bitilasana)
179,66,20,normal,26,Chakrasana (Wheel Pose),Utkatasana (Chair pose),Downward Facing Dog (Adho Mukha Shwanasana)
145,44,20,normal,20,Dhanurasana (Bow Pose),Trikonasana (Triangle Pose),Knees to Chest (Apanasana)
187,90,25,normal,57,Bhujangasana (Cobra Pose),Virabhadrasana 2 ( Warrior 2),Cobbler’s Pose (Baddha Konasana)
181,68,20,normal,44,Vajrasana (Diamond/ Thunderbolt Pose),Dhanurasana (Bow pose),Locust Pose (Salabhasana)
187,74,21,normal,59,Sarvangasana (Shoulder Stand),Setu Bandha Sarvangasana (Bridge Pose),Dandasana (plank pose)
193,75,20,normal,21,Matsyasana (Fish Pose),Bhujangasana  (Cobra pose),Viparita Karni (Inclined pose)
162,58,22,normal,20,Pavanamuktasana (Wind Relieving Pose),Navasana (Boat Pose),Corpse Pose (Savasana)
170,64,22,normal,35,Savasana (Corpse Pose),Utkatasana (Chair pose),Legs Up the Wall ( Viparita Karani)
193,93,24,normal,48,Supta Badhakonasana (Reclining butterfly pose),Trikonasana (Triangle Pose),Cat-Cow Stretch (Marjaryasana-Bitilasana)
161,53,20,normal,42,Chakrasana (Wheel Pose),Virabhadrasana 2 ( Warrior 2),Downward Facing Dog (Adho Mukha Shwanasana)
142,43,21,normal,21,Dhanurasana (Bow Pose),Dhanurasana (Bow pose),Knees to Chest (Apanasana)
153,48,20,normal,26,Bhujangasana (Cobra Pose),Setu Bandha Sarvangasana (Bridge Pose),Cobbler’s Pose (Baddha Konasana)
190,82,22,normal,34,Vajrasana (Diamond/ Thunderbolt Pose),Bhujangasana  (Cobra pose),Locust Pose (Salabhasana)
144,51,24,normal,56,Sarvangasana (Shoulder Stand),Navasana (Boat Pose),Dandasana (plank pose)
163,64,24,normal,26,Matsyasana (Fish Pose),Utkatasana (Chair pose),Viparita Karni (Inclined pose)
169,66,23,normal,33,Pavanamuktasana (Wind Relieving Pose),Trikonasana (Triangle Pose),Corpse Pose (Savasana)
164,60,22,normal,60,Savasana (Corpse Pose),Virabhadrasana 2 ( Warrior 2),Legs Up the Wall ( Viparita Karani)
194,79,20,normal,51,Supta Badhakonasana (Reclining butterfly pose),Dhanurasana (Bow pose),Cat-Cow Stretch (Marjaryasana-Bitilasana)
181,73,22,normal,16,Chakrasana (Wheel Pose),Setu Bandha Sarvangasana (Bridge Pose),Downward Facing Dog (Adho Mukha Shwanasana)
156,58,23,normal,16,Dhanurasana (Bow Pose),Bhujangasana  (Cobra pose),Knees to Chest (Apanasana)
159,61,24,normal,16,Bhujangasana (Cobra Pose),Navasana (Boat Pose),Cobbler’s Pose (Baddha Konasana)
195,84,22,normal,20,Chakrasana (Wheel Pose),Utkatasana (Chair pose),Locust Pose (Salabhasana)
193,95,25,normal,41,Dhanurasana (Bow Pose),Trikonasana (Triangle Pose),Dandasana (plank pose)
163,58,21,normal,18,Bhujangasana (Cobra Pose),Virabhadrasana 2 ( Warrior 2),Viparita Karni (Inclined pose)
196,79,20,normal,46,Vajrasana (Diamond/ Thunderbolt Pose),Dhanurasana (Bow pose),Corpse Pose (Savasana)
158,58,23,normal,33,Sarvangasana (Shoulder Stand),Setu Bandha Sarvangasana (Bridge Pose),Legs Up the Wall ( Viparita Karani)
179,76,23,normal,30,Matsyasana (Fish Pose),Bhujangasana  (Cobra pose),Cat-Cow Stretch (Marjaryasana-Bitilasana)
169,56,19,normal,27,Pavanamuktasana (Wind Relieving Pose),Navasana (Boat Pose),Downward Facing Dog (Adho Mukha Shwanasana)
173,60,20,normal,32,Savasana (Corpse Pose),Utkatasana (Chair pose),Knees to Chest (Apanasana)
160,50,19,normal,46,Supta Badhakonasana (Reclining butterfly pose),Trikonasana (Triangle Pose),Cobbler’s Pose (Baddha Konasana)
200,103,25,normal,34,Chakrasana (Wheel Pose),Virabhadrasana 2 ( Warrior 2),Locust Pose (Salabhasana)
155,53,22,normal,38,Dhanurasana (Bow Pose),Dhanurasana (Bow pose),Dandasana (plank pose)
143,54,26,normal,45,Bhujangasana (Cobra Pose),Setu Bandha Sarvangasana (Bridge Pose),Viparita Karni (Inclined pose)
196,79,20,normal,16,Vajrasana (Diamond/ Thunderbolt Pose),Bhujangasana  (Cobra pose),Corpse Pose (Savasana)
158,54,21,normal,54,Sarvangasana (Shoulder Stand),Navasana (Boat Pose),Legs Up the Wall ( Viparita Karani)
188,93,26,normal,47,Matsyasana (Fish Pose),Utkatasana (Chair pose),Cat-Cow Stretch (Marjaryasana-Bitilasana)
168,60,21,normal,55,Pavanamuktasana (Wind Relieving Pose),Trikonasana (Triangle Pose),Downward Facing Dog (Adho Mukha Shwanasana)
163,61,22,normal,32,Savasana (Corpse Pose),Virabhadrasana 2 ( Warrior 2),Knees to Chest (Apanasana)
154,61,25,normal,46,Supta Badhakonasana (Reclining butterfly pose),Dhanurasana (Bow pose),Cobbler’s Pose (Baddha Konasana)
182,82,24,normal,42,Chakrasana (Wheel Pose),Setu Bandha Sarvangasana (Bridge Pose),Locust Pose (Salabhasana)
164,60,22,normal,45,Dhanurasana (Bow Pose),Bhujangasana  (Cobra pose),Dandasana (plank pose)
173,78,26,normal,35,Bhujangasana (Cobra Pose),Navasana (Boat Pose),Viparita Karni (Inclined pose)
164,63,23,normal,37,Chakrasana (Wheel Pose),Utkatasana (Chair pose),Corpse Pose (Savasana)
194,87,23,normal,50,Dhanurasana (Bow Pose),Trikonasana (Triangle Pose),Legs Up the Wall ( Viparita Karani)
190,86,23,normal,33,Bhujangasana (Cobra Pose),Virabhadrasana 2 ( Warrior 2),Cat-Cow Stretch (Marjaryasana-Bitilasana)
169,58,20,normal,30,Vajrasana (Diamond/ Thunderbolt Pose),Dhanurasana (Bow pose),Downward Facing Dog (Adho Mukha Shwanasana)
194,85,22,normal,47,Sarvangasana (Shoulder Stand),Setu Bandha Sarvangasana (Bridge Pose),Knees to Chest (Apanasana)
179,87,27,normal,16,Matsyasana (Fish Pose),Bhujangasana  (Cobra pose),Cobbler’s Pose (Baddha Konasana)
145,42,19,normal,51,Pavanamuktasana (Wind Relieving Pose),Navasana (Boat Pose),Locust Pose (Salabhasana)
173,58,19,normal,39,Savasana (Corpse Pose),Utkatasana (Chair pose),Dandasana (plank pose)
181,83,25,normal,22,Supta Badhakonasana (Reclining butterfly pose),Trikonasana (Triangle Pose),Viparita Karni (Inclined pose)
140,48,24,normal,40,Chakrasana (Wheel Pose),Virabhadrasana 2 ( Warrior 2),Corpse Pose (Savasana)
