height,weight,bmi,cat,age,vegNonveg,gender,activity,calorie_intake,food
156,104,42,low,33,0,0,1.37,1813,"Breakfast: Banana Peanut Butter Chia Pudding , ; Lunch: Kidney Beans Lettuce Cheese Rollups , ; Dinner: 2 Lavash Vegetable Wraps"
142,63,31,low,30,1,0,1.2,947,"Breakfast: Granola , ; Lunch: Tuna-Stuffed Tomato , ; Dinner: Peanut Butter and Peach Toast"
182,108,32,low,24,0,0,1.2,1823,"Breakfast: Peaches and Cream Oatmeal , ; Lunch: Paleo Avocado Beans Salad , ; Dinner: Balsamic Soyachunks and Mushrooms"
151,94,41,low,55,1,0,1.37,1483,"Breakfast: 2 Grown-Up PB&J Toast , ; Lunch: 2 Tuna and Avocado Wraps , ; Dinner: 2 Chicken Wraps"
164,104,38,low,52,0,0,1.2,1472,"Breakfast: Oatmeal banana pancakes , ; Lunch: Paleo Avocado Beans Salad , ; Dinner: Soyachunks and Tomato Kabobs"
158,99,39,low,17,1,0,1.37,1872,"Breakfast: 2 Eggs, Mushroom Omelet , ; Lunch: 2 ALT (Avocado, Lettuce, and Tomato) Sandwiches , ; Dinner: Chicken & Mayo Bagel"
195,110,28,low,23,0,0,1.37,2298,"Breakfast: Banana Nut Oatmeal, ; Lunch: Cucumber Sandwich,Yogurt with Almonds & Honey, ; Dinner:One-Pot Spaghetti with Fresh Tomato Sauce"
184,104,30,low,16,1,0,1.37,2170,"Breakfast: Breakfast Mini Pizzas , ; Lunch: Tuna and Ranch Garden Salad, Low Calorie Hummus , ; Dinner: Cottage Cheese and Spinach Sandwich, Easy Hard-Boiled Eggs"
155,78,32,low,51,0,0,1.2,1099,"Breakfast: Seedy Hummus Toast, ; Lunch: Low Calorie Hummus, ; Dinner: Pasta with Fresh Tomato Sauce"
190,102,28,low,46,0,0,1.55,2315,"Breakfast: Spinach, Onion, Mushroom, and Bell Pepper Egg White Omelet, Morning Roasted Potatoes, ; Lunch: Tahini on Rye , ; Dinner: Quick and Easy Grilled Cheese"
146,65,30,low,34,0,0,1.2,977,"Breakfast: Fruit salad , ; Lunch: Lemon Avocado Salad , ; Dinner: White Rice"
140,100,51,low,60,1,0,1.55,1691,"Breakfast: PB&J Smoothie, Whole Wheat Toast , ; Lunch: Hummus on Whole Wheat , ; Dinner: Spicy Chicken Salad, Fire Roasted Tomatoes with Cheese"
178,102,32,low,37,1,0,1.37,1947,"Breakfast: Blackberry Almond Butter Sandwich , ; Lunch: Tuna-Stuffed Tomato,Peach and Peanut Butter Snack , ; Dinner: Chicken Parmesan, Easy Sautéed Spinach"
143,108,52,low,60,1,0,1.2,1315,"Breakfast: Fruit and Yogurt Smoothie , ; Lunch:Yogurt & Strawberries , ; Dinner: Cheesy Chorizo Chicken and Spinach"
154,99,41,low,30,1,0,1.55,2044,"Breakfast:Oatmeal Cottage Cheese Pancakes , ; Lunch:Chicken Celery Sticks, Tossed Tomatoes, Cucumber, and Red Peppers , ; Dinner: Gourmet Grilled Cheese"
174,108,35,low,27,0,0,1.37,2063,"Breakfast: Island in the Sun Smoothie , ; Lunch: Fruit & Vegetable Plate with Almonds & Cheese, Low Calorie Hummus , ; Dinner: Pineapple, Black Beans, and Couscous"
178,91,28,low,44,1,0,1.37,1748,"Breakfast: Eggs Baked in Avocado, ; Lunch: Chicken and cheese sandwich, Carrots , ; Dinner: Chicken & Mayo Bagel, Roasted Broccoli with Parmesan Lemon Butter Sauce"
143,64,31,low,23,1,0,1.2,1009,"Breakfast: Microwave Vanilla Banana Oat Cake, ; Lunch: Lime Chicken Salad, Quick and Easy Homemade Hummus , ; Dinner: BLT sandwich"
168,99,35,low,38,1,0,1.2,1526,"Breakfast: Spinach Avocado Smoothie Bowl, Oranges , ; Lunch:Turkey Lettuce Rollups, Cottage Cheese & Raspberries , ; Dinner: BBQ Chicken Sandwich, Roasted Green Beans"
159,83,32,low,60,1,0,1.2,1135,"Breakfast:PB&J Smoothie , ; Lunch: Peanut butter and jelly, ; Dinner: Grilled Steak with Pepper Relish"
160,108,42,low,53,0,0,1.55,2063,"Breakfast: Oat Bran Pancake, Warm Blueberry Yogurt , ; Lunch: Big PB&J Sandwich , ; Dinner: ; Dinner Pita Pizza, Steamed Broccoli with Olive Oil and Parmesan"
151,80,35,low,25,1,0,1.2,1249,"Breakfast: Grown-Up PB&J Toast , ; Lunch: Light Raspberry yogurt , ; Dinner: Cauliflower Chicken Fried Rice"
141,80,40,low,50,1,0,1.55,1468,"Breakfast: Egg White Avocado & Tomato Scramble, ; Lunch: Tuna Stuffed Pepper, Turkey and Avocado Wrap , ; Dinner: Chicken and Ranch Wrap"
142,107,53,low,46,1,0,1.37,1646,"Breakfast: Chocolate peanut protein shake, ; Lunch: Fruit & Vegetable Plate with Almonds & Cheese, ; Dinner: Chicken Kabobs"
140,108,55,low,32,1,0,1.2,1460,"Breakfast: Berry Yogurt Smoothie, ; Lunch: Tuna Stuffed Pepper, ; Dinner: Kielbasa, Pepper, Onion and Potato Hash"
144,103,49,low,22,1,0,1.55,2071,"Breakfast: Oatmeal Banana Peanut Butter Chocolate Shake, ; Lunch: Turkey, Cheddar, and Mustard Sandwich, ; Dinner: Oriental Chicken Stir-Fry"
145,97,46,low,55,1,0,1.37,1473,"Breakfast: Berry Yogurt Smoothie, ; Lunch: Fruit & Vegetable Plate with Almonds & Cheese, ; Dinner: Kielbasa, Pepper, Onion and Potato Hash"
173,95,31,low,42,0,0,1.55,2073,"Breakfast: Mexican Pepper and Cheese Breakfast Quesadilla, ; Lunch: Apricot Jam and Almond Butter Sandwich, ; Dinner: Spinach Tomato Quesadilla"
168,108,38,low,55,0,0,1.55,2125,"Breakfast: Bagel with Cream Cheese, ; Lunch: Big PB&J Sandwich, ; Dinner: Pasta with Red Sauce and Mozzarella"
148,110,50,low,28,1,0,1.2,1568,"Breakfast: Tropical protein smoothie, ; Lunch: Fruit & Vegetable Plate with Almonds & Cheese, ; Dinner: Easy Grilled Chicken Teriyaki"
177,101,32,low,46,1,0,1.2,1570,"Breakfast: Make Ahead Breakfast Burritos, ; Lunch: Yogurt & Banana, ; Dinner: Cheesy Chicken and Spinach"
171,99,33,low,24,1,0,1.55,2255,"Breakfast: Oatmeal Banana Peanut Butter Chocolate Shake, ; Lunch: Turkey Sandwich, ; Dinner: Turkey Bacon BLT Sandwich"
146,91,42,low,59,0,0,1.55,1618,"Breakfast: Oatmeal banana protein shake, ; Lunch: Simple Caprese Sandwich, ; Dinner: Mozzarella and Hummus on MultiGrain Flatbread"
182,90,27,low,27,1,0,1.55,2199,"Breakfast: Sunrise Smoothie, ; Lunch: Chicken Caesar Wraps, ; Dinner: BLT sandwich"
189,103,28,low,25,0,0,1.37,2137,"Breakfast: Breakfast Parfait, ; Lunch: Big PB&J Sandwich, ; Dinner: Pasta with Red Sauce and Mozzarella"
165,76,27,low,27,1,0,1.37,1548,"Breakfast: Nutella and Banana Toast, ; Lunch: Tomato and Hummus on Rye, ; Dinner: Toaster Oven Mozzarella Tortilla Pizza"
159,89,35,low,32,1,0,1.2,1375,"Breakfast: Breakfast Smoothie, ; Lunch: Tuna Mex Tuna Salad, ; Dinner: Chicken Kabobs"
191,87,23,normal,41,0,1,1.2,2236,"Breakfast: Mexican Pepper and Cheese Breakfast Quesadilla, ; Lunch: Simple Caprese Sandwich, ; Dinner: Pasta with Red Sauce and Mozzarella"
173,69,23,normal,46,0,1,1.55,2396,"Breakfast: Everything Bagel with Cream Cheese and Cucumber, ; Lunch: Apricot Jam and Almond Butter Sandwich, ; Dinner: Greek Pasta with Tomatoes and White Beans"
161,54,20,normal,27,1,1,1.37,1940,"Breakfast: Chocolate peanut protein shake, ; Lunch: Chicken and avocado salad, ; Dinner: Pasta la Checca"
189,85,23,normal,52,1,1,1.2,2131,"Breakfast: Peanut Butter & Banana Oatmeal, ; Lunch: Peanut Butter and Honey Sandwich on Rye, ; Dinner: Easy Grilled Chicken Teriyaki"
192,71,19,normal,45,0,1,1.55,2619,"Breakfast: Toasted Chili Pepper Cheese Sandwich, ; Lunch: Peanut butter and jelly, ; Dinner: ; Dinner Pita Pizza"
171,65,22,normal,53,0,1,1.37,1998,"Breakfast: Oatmeal banana protein shake, ; Lunch: Tomato and Cheese Wrap, ; Dinner: Greek Pasta with Tomatoes and White Beans"
163,65,24,normal,18,1,1,1.2,1900,"Breakfast: Oatmeal Banana Peanut Butter Chocolate Shake, ; Lunch: Banana Avocado Protein Smoothie, ; Dinner: Chicken Kabobs"
156,55,22,normal,38,0,1,1.37,1835,"Breakfast: Kale White Bean and Pesto Salad, ; Lunch:Oatmeal and raisins, ; Dinner: Spinach and Sun-dried Tomato Sandwich"
169,74,25,normal,43,0,1,1.37,2173,"Breakfast: Mexican Pepper and Cheese Breakfast Quesadilla, ; Lunch: Fruit salad, ; Dinner: Low Fat Bean and Cheese Burrito"
140,49,25,normal,33,1,1,1.55,1867,"Breakfast: Vegetable 3 Egg Scramble, ; Lunch: Cottage Cheese Tuna Salad, ; Dinner: Low Fat Bean and Cheese Burrito"
155,54,22,normal,25,0,1,1.2,1666,"Breakfast: Cottage Cheese with Fruit and Granola, ; Lunch: Veggie and Hummus Sandwich, ; Dinner: Grilled Cheese with Tomato, Peppers and Basil"
163,69,25,normal,52,0,1,1.37,1991,"Breakfast: Spinach, Pepper, and Tomato Scramble on Toast, ; Lunch: Potato Chip Sandwich, ; Dinner: ; Dinner Pita Pizza"
172,51,17,normal,45,1,1,1.2,1638,"Breakfast: Chocolate peanut protein shake, ; Lunch: Corn Tuna Salad, ; Dinner: Chicken Kabobs"
164,58,21,normal,39,1,1,1.55,2193,"Breakfast: Chicken and Cottage Cheese Sandwich, ; Lunch: Chicken Celery Sticks, ; Dinner: BBQ Chicken Sandwich"
174,64,21,normal,58,1,1,1.37,1976,"Breakfast: Oatmeal Banana Peanut Butter Chocolate Shake, ; Lunch: Apricot Jam and Almond Butter Sandwich, ; Dinner: Easy Microwave Sausage, Kale, and White Beans"
